NAME	DESCRIPTION	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-11_htsqct	HD-5_htsqct	HD-4_htsqct	HD-3-1_htsqct	HD-2-1_htsqct	HD-1_htsqct
MTCH1	MTCH1	76.95405705716	20.1820267334975	56.3176372217829	45.3272067376991	44.7666988909244	2.53989849992997	2.04017240911744	1.09218585503031	5.77846342269302	12.2331387787251
TAF8	TAF8	3.49791168441637	2.98992988644407	9.38627287029714	0	6.15542109750211	6.34974624982493	5.1004310227936	8.73748684024248	2.31138536907721	6.99036501641436
CPEB2	CPEB2	32.6471757212194	55.3137028992153	35.8384964138618	16.9977025266371	17.9066795563698	0	0	28.3968322307881	1.1556926845386	9.90301710658701
FCHSD2	FCHSD2	13.9916467376655	26.9093689779966	17.0659506732675	2.83295042110619	31.3366892236471	30.4787819991597	64.2654308871994	17.474973680485	43.916322012467	49.5150855329351
ARRB1	ARRB1	268.173229138588	316.185085491461	197.965027809903	308.791595900575	280.911035540551	163.823453245483	106.088965274107	173.657550949819	137.527429460094	70.4861805821782
THAP12	THAP12	10.4937350532491	16.4446143754424	21.3324383415844	25.4965537899557	14.5491771395504	3.80984774989496	7.14060343191105	0	2.31138536907721	9.32048668855248
NUMA1	NUMA1	15.1576172991376	54.5662204276043	32.4253062792083	14.164752105531	33.0154404320567	8.8896447497549	1.02008620455872	44.7796200562427	17.3353902680791	16.3108517049668
CCDC90B	CCDC90B	18.6555289835539	67.2734224449916	31.5720087455449	31.1624546321681	63.2329621834307	88.896447497549	205.037327116303	38.2265049260609	47.3834000660828	94.9524581396284
SYTL2	SYTL2	1.16597056147212	0	7.67967780297039	0	4.47666988909244	7.61969549978992	20.4017240911744	4.36874342012124	12.7126195299246	8.73795627051795
RAB30	RAB30	22.1534406679703	9.71727213094323	8.53297533663377	16.9977025266371	10.6320909865945	38.0984774989496	38.7632757732314	48.0561776213337	48.5390927506214	28.543990483692
PRCP	PRCP	6.99582336883273	6.72734224449916	11.9461654712873	0	3.91708615295589	3.80984774989496	10.2008620455872	14.198416115394	11.556926845386	39.6120684263481
